FALSE,FALSE,FALSE
dateTime:RFC3339,double,double
,,
_time,_humidity,_temperature
2022-02-19T20:40:00Z,76,-1.5
2022-02-19T20:50:00Z,76,-1.5
2022-02-19T21:10:00Z,79,-1.9
2022-02-19T21:20:00Z,79,-1.9
2022-02-19T21:40:00Z,79,-1.9
2022-02-19T21:50:00Z,79,-1.9
2022-02-19T22:10:00Z,79,-1.9
2022-02-19T22:20:00Z,84,-2.2
2022-02-19T22:40:00Z,84,-2.2
2022-02-19T22:50:00Z,84,-2.2
2022-02-19T23:10:00Z,84,-2.2
2022-02-19T23:20:00Z,85,-2.2
2022-02-19T23:40:00Z,85,-2.2
2022-02-19T23:50:00Z,85,-2.2
2022-02-20T00:10:00Z,85,-2.2
2022-02-20T00:20:00Z,87,-2.4
2022-02-20T00:40:00Z,87,-2.4
2022-02-20T00:50:00Z,87,-2.4
2022-02-20T01:10:00Z,87,-2.4
2022-02-20T01:20:00Z,90,-2.8
2022-02-20T01:40:00Z,90,-2.8
2022-02-20T01:50:00Z,90,-2.8
2022-02-20T02:10:00Z,90,-2.8
2022-02-20T02:20:00Z,90,-2.8
2022-02-20T02:40:00Z,90,-2.6
2022-02-20T02:50:00Z,90,-2.6
2022-02-20T03:10:00Z,90,-2.6
2022-02-20T03:20:00Z,90,-2.6
2022-02-20T03:40:00Z,90,-2.3
2022-02-20T03:50:00Z,90,-2.3
2022-02-20T04:10:00Z,90,-2.3
2022-02-20T04:20:00Z,90,-2.3
2022-02-20T04:40:00Z,94,-3.2
2022-02-20T04:50:00Z,94,-3.2
2022-02-20T05:10:00Z,94,-3.2
2022-02-20T05:20:00Z,94,-3.2
2022-02-20T05:40:00Z,96,-2.7
2022-02-20T05:50:00Z,96,-2.7
2022-02-20T06:10:00Z,96,-2.7
2022-02-20T06:20:00Z,NA,-2.7
2022-02-20T06:40:00Z,NA,-2.7
2022-02-20T06:50:00Z,NA,-2.4
2022-02-20T07:10:00Z,94,-2.4
2022-02-20T07:20:00Z,94,-2.4
2022-02-20T07:40:00Z,94,-2.4
2022-02-20T07:50:00Z,93,-2.3
2022-02-20T08:10:00Z,93,-2.3
2022-02-20T08:20:00Z,93,-2.3
2022-02-20T08:40:00Z,93,-2.3
2022-02-20T08:50:00Z,86,-1.4
2022-02-20T09:10:00Z,86,-1.4
2022-02-20T09:30:00Z,86,-1.4
2022-02-20T09:50:00Z,86,-1.4
2022-02-20T10:00:00Z,86,-1.4
2022-02-20T10:20:00Z,86,-1.4
2022-02-20T10:30:00Z,72,-0.2
2022-02-20T10:50:00Z,72,-0.2
2022-02-20T11:00:00Z,72,-0.2
2022-02-20T11:20:00Z,72,-0.2
2022-02-20T11:30:00Z,69,-0.2
2022-02-20T11:50:00Z,69,-0.2
2022-02-20T12:00:00Z,69,-0.2
2022-02-20T12:20:00Z,69,-0.2
2022-02-20T12:30:00Z,64,0.7
2022-02-20T12:50:00Z,64,0.7
2022-02-20T13:00:00Z,64,0.7
2022-02-20T13:20:00Z,64,0.7
2022-02-20T13:30:00Z,52,1
2022-02-20T13:50:00Z,52,1
2022-02-20T14:00:00Z,52,1
2022-02-20T14:20:00Z,52,1
2022-02-20T14:30:00Z,47,1.1
2022-02-20T14:50:00Z,47,1.1
2022-02-20T15:00:00Z,54,0.6
2022-02-20T15:20:00Z,54,0.6
2022-02-20T15:30:00Z,54,0.6
2022-02-20T15:50:00Z,54,0.6
2022-02-20T16:00:00Z,54,0.6
2022-02-20T16:20:00Z,62,-0.8
2022-02-20T16:30:00Z,62,-0.8
2022-02-20T16:50:00Z,62,-0.8
2022-02-20T17:00:00Z,62,-0.8
2022-02-20T17:20:00Z,69,-1.5
2022-02-20T17:30:00Z,69,-1.5
2022-02-20T17:50:00Z,69,-1.5
2022-02-20T18:00:00Z,69,-1.5
2022-02-20T18:20:00Z,75,-1.9
2022-02-20T18:30:00Z,75,-1.9
2022-02-20T18:50:00Z,75,-1.9
2022-02-20T19:00:00Z,75,-1.9
2022-02-20T19:20:00Z,75,-1.6
2022-02-20T19:30:00Z,75,-1.6
2022-02-20T19:50:00Z,75,-1.6
2022-02-20T20:00:00Z,75,-1.6
2022-02-20T20:20:00Z,83,-1.7
2022-02-20T20:30:00Z,83,-1.7
2022-02-20T20:50:00Z,83,-1.7
2022-02-20T21:00:00Z,83,-1.7
2022-02-20T21:20:00Z,90,-1.6
2022-02-20T21:30:00Z,90,-1.6
2022-02-20T21:50:00Z,90,-1.6
2022-02-20T22:00:00Z,90,-1.6
2022-02-20T22:20:00Z,88,-0.6
2022-02-20T22:30:00Z,88,-0.6
2022-02-20T22:50:00Z,88,-0.6
2022-02-20T23:00:00Z,88,-0.6
2022-02-20T23:20:00Z,91,0.1
2022-02-20T23:30:00Z,91,0.1
